"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Adimali","Cocoa","Other","24/08/2022","20000","20000","20000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","01/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","05/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","12/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","15/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","19/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","22/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","26/01/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","02/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","05/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","09/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","12/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","16/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","19/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","23/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","26/02/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","02/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","05/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","09/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","16/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","19/03/2022","3800","NA","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","23/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","25/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","26/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","30/03/2022","3800","4000","4000"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","02/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","06/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","13/04/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","16/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","20/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","23/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","27/04/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","04/05/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","07/05/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","11/05/2022","4200","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","14/05/2022","4200","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","18/05/2022","4200","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","21/05/2022","4200","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","25/05/2022","4400","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","28/05/2022","4300","4500","4500"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","08/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","11/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","15/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","18/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","22/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","25/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","27/06/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","29/06/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","06/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","13/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","16/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","19/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","20/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","23/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","27/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","30/07/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","03/08/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","06/08/2022","4000","4200","4200"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","17/08/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","20/08/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","24/08/2022","4200","4400","4400"
"Kerala","Idukki","Thodupuzha","Cocoa","Other","27/08/2022","4300","4500","4500"
